s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.4148712E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4148712E-004, 0.0000000E+000,-2.7424270E-001
 1.0149827E+000, 0.0000000E+000,-1.6745024E-004,-2.7518577E-001, 2.1977528E-004, 0.0000000E+000, 3.6924606E-005, 0.0000000E+000,-2.4839381E-001,-2.7509652E-001, 7.9115202E-004,-2.7382236E-001
 2.0299654E+000, 0.0000000E+000, 4.6547029E-004,-8.6986251E-001, 3.5028327E-003, 0.0000000E+000, 1.5738774E-003, 0.0000000E+000,-8.4887576E-001,-8.6432033E-001, 2.7953574E-003,-2.4797846E-001
 3.0449481E+000, 0.0000000E+000, 2.3748617E-003,-1.0420837E+000, 4.2739486E-003, 0.0000000E+000, 2.6412893E-003, 0.0000000E+000,-1.0302961E+000,-1.0327936E+000, 3.4189590E-003,-2.0367672E-001
 4.0173206E+000, 0.0000000E+000, 4.5388041E-003,-1.0678111E+000, 4.6044028E-003, 0.0000000E+000, 3.6578964E-003, 0.0000000E+000,-1.0548274E+000,-1.0550100E+000, 3.5136389E-003,-1.4490687E-001
 5.0140319E+000, 0.0000000E+000, 6.6445069E-003,-1.0713436E+000, 5.3220378E-003, 0.0000000E+000, 4.8002082E-003, 0.0000000E+000,-1.0546482E+000,-1.0545769E+000, 3.5266280E-003,-6.5486489E-002
 6.0115566E+000, 0.0000000E+000, 8.9122097E-003,-1.0718519E+000, 5.4386638E-003, 0.0000000E+000, 5.7568599E-003, 0.0000000E+000,-1.0518460E+000,-1.0517442E+000, 3.5284274E-003, 2.9912624E-002
 7.0058174E+000, 0.0000000E+000, 1.1160825E-002,-1.0719276E+000, 5.1557121E-003, 0.0000000E+000, 6.5502906E-003, 0.0000000E+000,-1.0491491E+000,-1.0490608E+000, 3.5286972E-003, 1.3821461E-001
 8.0073204E+000, 0.0000000E+000, 1.3525054E-002,-1.0719385E+000, 8.7068326E-003, 0.0000000E+000, 8.8979213E-003, 0.0000000E+000,-1.0411892E+000,-1.0408087E+000, 3.5287353E-003, 2.8512441E-001
 9.0378323E+000, 0.0000000E+000, 1.5988337E-002,-1.0719565E+000, 2.9493791E-002, 0.0000000E+000, 1.8146714E-002, 0.0000000E+000,-1.0089552E+000,-1.0083277E+000, 3.5287949E-003, 5.9374411E-001
 1.0040716E+001, 0.0000000E+000, 1.8397143E-002,-1.0719766E+000, 4.4978719E-002, 0.0000000E+000, 2.5255946E-002, 0.0000000E+000,-9.8368779E-001,-9.8334482E-001, 3.5288611E-003, 1.0142971E+000
 1.1017318E+001, 0.0000000E+000, 2.0675058E-002,-1.0720220E+000, 5.3457182E-002, 0.0000000E+000, 2.9532313E-002, 0.0000000E+000,-9.6870078E-001,-9.6835742E-001, 3.5290104E-003, 1.4934673E+000
 1.2030694E+001, 0.0000000E+000, 2.2952818E-002,-1.0720638E+000, 6.2211769E-002, 0.0000000E+000, 3.3914538E-002, 0.0000000E+000,-9.5329141E-001,-9.5298468E-001, 3.5291481E-003, 2.0648887E+000
 1.3010291E+001, 0.0000000E+000, 2.5225276E-002,-1.0721122E+000, 7.5262761E-002, 0.0000000E+000, 4.0004105E-002, 0.0000000E+000,-9.3211112E-001,-9.3162006E-001, 3.5293074E-003, 2.7157768E+000
 1.4001148E+001, 0.0000000E+000, 2.7399915E-002,-1.0721648E+000, 8.5657311E-002, 0.0000000E+000, 4.5006027E-002, 0.0000000E+000,-9.1430135E-001,-9.1410155E-001, 3.5294805E-003, 3.4580826E+000
 1.5033292E+001, 0.0000000E+000, 2.9584516E-002,-1.0722308E+000, 8.6460632E-002, 0.0000000E+000, 4.6187040E-002, 0.0000000E+000,-9.1005362E-001,-9.0999859E-001, 3.5296975E-003, 4.2523938E+000
 1.6044792E+001, 0.0000000E+000, 3.1781435E-002,-1.0723018E+000, 8.7270948E-002, 0.0000000E+000, 4.7371503E-002, 0.0000000E+000,-9.0605434E-001,-9.0587795E-001, 3.5299315E-003, 5.0502475E+000
