,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2024-09-25T15:04:57.699+02:00, 0.564E-01,   0.05639, 0.74780E+01
       2,2024-09-25T15:04:57.975+02:00, 0.564E-01,   0.11278, 0.77538E+01
       3,2024-09-25T15:04:58.547+02:00, 0.564E-01,   0.16916, 0.83258E+01
       4,2024-09-25T15:04:58.831+02:00, 0.564E-01,   0.22555, 0.86090E+01
       5,2024-09-25T15:04:59.106+02:00, 0.564E-01,   0.28194, 0.88840E+01
       6,2024-09-25T15:04:59.668+02:00, 0.564E-01,   0.33833, 0.94449E+01
       7,2024-09-25T15:04:59.943+02:00, 0.564E-01,   0.39472, 0.97195E+01
       8,2024-09-25T15:05:00.223+02:00, 0.564E-01,   0.45110, 0.99998E+01
       9,2024-09-25T15:05:00.769+02:00, 0.564E-01,   0.50749, 0.10544E+02
      10,2024-09-25T15:05:01.056+02:00, 0.564E-01,   0.56388, 0.10832E+02
      20,2024-09-25T15:05:04.674+02:00, 0.564E-01,   1.12776, 0.14442E+02
      30,2024-09-25T15:05:08.506+02:00, 0.564E-01,   1.69164, 0.18270E+02
      40,2024-09-25T15:05:12.067+02:00, 0.564E-01,   2.25552, 0.21824E+02
      50,2024-09-25T15:05:15.626+02:00, 0.564E-01,   2.81940, 0.25379E+02
      60,2024-09-25T15:05:19.575+02:00, 0.564E-01,   3.38328, 0.29315E+02
      70,2024-09-25T15:05:23.430+02:00, 0.398E-01,   3.85795, 0.33161E+02
      80,2024-09-25T15:05:27.104+02:00, 0.356E-01,   4.24378, 0.36825E+02
      90,2024-09-25T15:05:30.988+02:00, 0.356E-01,   4.60021, 0.40706E+02
     100,2024-09-25T15:05:34.614+02:00, 0.392E-01,   4.97090, 0.44329E+02
     200,2024-09-25T15:06:10.758+02:00, 0.380E-01,   8.64276, 0.80398E+02
     300,2024-09-25T15:06:47.267+02:00, 0.375E-01,  12.55615, 0.11684E+03
     400,2024-09-25T15:07:22.838+02:00, 0.403E-01,  16.66801, 0.15235E+03
     500,2024-09-25T15:07:58.962+02:00, 0.413E-01,  20.57891, 0.18841E+03
     600,2024-09-25T15:08:35.321+02:00, 0.350E-01,  24.58555, 0.22469E+03
     700,2024-09-25T15:09:11.831+02:00, 0.403E-01,  28.17859, 0.26113E+03
     800,2024-09-25T15:09:47.983+02:00, 0.410E-01,  31.89790, 0.29723E+03
     900,2024-09-25T15:10:23.608+02:00, 0.443E-01,  36.07120, 0.33279E+03
    1000,2024-09-25T15:10:59.065+02:00, 0.433E-01,  40.30162, 0.36819E+03
    1100,2024-09-25T15:11:34.791+02:00, 0.454E-01,  44.46255, 0.40387E+03
    1200,2024-09-25T15:12:12.573+02:00, 0.395E-01,  48.56895, 0.44158E+03
    1300,2024-09-25T15:12:49.122+02:00, 0.439E-01,  52.67362, 0.47807E+03
    1400,2024-09-25T15:13:25.712+02:00, 0.382E-01,  56.65029, 0.51460E+03
    1500,2024-09-25T15:14:02.471+02:00, 0.386E-01,  60.57394, 0.55129E+03
    1600,2024-09-25T15:14:38.787+02:00, 0.376E-01,  64.42061, 0.58754E+03
    1700,2024-09-25T15:15:16.528+02:00, 0.407E-01,  68.54236, 0.62522E+03
    1800,2024-09-25T15:15:53.740+02:00, 0.369E-01,  72.44074, 0.66234E+03
    1900,2024-09-25T15:16:29.794+02:00, 0.414E-01,  76.30458, 0.69834E+03
    2000,2024-09-25T15:17:06.379+02:00, 0.416E-01,  80.37339, 0.73486E+03
    2100,2024-09-25T15:17:43.477+02:00, 0.444E-01,  84.33170, 0.77190E+03
    2200,2024-09-25T15:18:21.367+02:00, 0.390E-01,  88.64303, 0.80971E+03
    2300,2024-09-25T15:18:57.983+02:00, 0.429E-01,  92.87809, 0.84626E+03
    2400,2024-09-25T15:19:35.809+02:00, 0.406E-01,  96.76511, 0.88401E+03
    2482,2024-09-25T15:20:06.650+02:00, 0.187E-01, 100.00000, 0.91479E+03
