s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.4130087E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4130087E-004, 0.0000000E+000,-3.7022747E-001
 4.0008804E+001, 0.0000000E+000, 8.1851976E-002,-2.9740852E-001, 9.2063711E-002, 0.0000000E+000,-1.7171859E+000, 0.0000000E+000,-1.8389697E+000,-1.8406787E+000,-1.3794046E-002,-1.1442478E+003
 8.0074821E+001, 0.0000000E+000, 2.2625250E-001,-2.6288127E-001, 2.4488316E-001, 0.0000000E+000,-1.6089096E+000, 0.0000000E+000,-1.4011430E+000,-1.4006552E+000,-1.4015635E-002,-2.2186952E+003
 1.2002933E+002, 0.0000000E+000, 3.3461216E-001,-2.3316832E-001, 3.5896330E-001, 0.0000000E+000,-1.5018568E+000, 0.0000000E+000,-1.0418312E+000,-1.0414497E+000,-1.3958670E-002,-3.2188569E+003
 1.6003357E+002, 0.0000000E+000, 4.1476999E-001,-2.1087052E-001, 4.5436728E-001, 0.0000000E+000,-1.4146109E+000, 0.0000000E+000,-7.5661665E-001,-7.5634413E-001,-1.3887107E-002,-4.1620813E+003
 2.0001091E+002, 0.0000000E+000, 4.7356028E-001,-1.9434352E-001, 5.2622195E-001, 0.0000000E+000,-1.3461361E+000, 0.0000000E+000,-5.4086735E-001,-5.4069741E-001,-1.3804241E-002,-5.0590339E+003
 2.4001515E+002, 0.0000000E+000, 5.1627437E-001,-1.8149458E-001, 5.7977727E-001, 0.0000000E+000,-1.2920433E+000, 0.0000000E+000,-3.7761024E-001,-3.7748625E-001,-1.3715282E-002,-5.9205182E+003
 2.8001938E+002, 0.0000000E+000, 5.4655206E-001,-1.7194375E-001, 6.1937005E-001, 0.0000000E+000,-1.2490204E+000, 0.0000000E+000,-2.5513802E-001,-2.5504208E-001,-1.3620267E-002,-6.7533136E+003
 3.2006781E+002, 0.0000000E+000, 5.6740355E-001,-1.6553270E-001, 6.4741717E-001, 0.0000000E+000,-1.2147865E+000, 0.0000000E+000,-1.6552156E-001,-1.6549844E-001,-1.3518768E-002,-7.5641695E+003
 3.6007205E+002, 0.0000000E+000, 5.8170802E-001,-1.5803913E-001, 6.6278886E-001, 0.0000000E+000,-1.1885461E+000, 0.0000000E+000,-1.0208207E-001,-1.0208833E-001,-1.3423731E-002,-8.3566310E+003
 4.0000000E+002, 0.0000000E+000, 5.9152902E-001,-1.5802782E-001, 6.7059326E-001, 0.0000000E+000,-1.1673969E+000, 0.0000000E+000,-6.3298609E-002,-6.3302463E-002,-1.3306571E-002,-9.1335079E+003
