,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-02-04T16:16:06.218+01:00, 0.768E-01,   0.07678, 0.43884E+01
       2,2025-02-04T16:16:06.610+01:00, 0.768E-01,   0.15357, 0.45801E+01
       3,2025-02-04T16:16:07.222+01:00, 0.768E-01,   0.23035, 0.48951E+01
       4,2025-02-04T16:16:07.608+01:00, 0.768E-01,   0.30713, 0.50811E+01
       5,2025-02-04T16:16:07.942+01:00, 0.768E-01,   0.38392, 0.52624E+01
       6,2025-02-04T16:16:08.545+01:00, 0.768E-01,   0.46070, 0.55648E+01
       7,2025-02-04T16:16:08.937+01:00, 0.768E-01,   0.53748, 0.57565E+01
       8,2025-02-04T16:16:09.321+01:00, 0.768E-01,   0.61427, 0.59438E+01
       9,2025-02-04T16:16:09.924+01:00, 0.768E-01,   0.69105, 0.62464E+01
      10,2025-02-04T16:16:10.315+01:00, 0.768E-01,   0.76784, 0.64359E+01
      20,2025-02-04T16:16:14.819+01:00, 0.768E-01,   1.53567, 0.86889E+01
      30,2025-02-04T16:16:19.538+01:00, 0.768E-01,   2.30351, 0.11063E+02
      40,2025-02-04T16:16:24.133+01:00, 0.768E-01,   3.07134, 0.13357E+02
      50,2025-02-04T16:16:28.623+01:00, 0.768E-01,   3.83918, 0.15595E+02
      60,2025-02-04T16:16:33.433+01:00, 0.768E-01,   4.60701, 0.18004E+02
      70,2025-02-04T16:16:38.038+01:00, 0.768E-01,   5.37485, 0.20312E+02
      80,2025-02-04T16:16:42.635+01:00, 0.768E-01,   6.14269, 0.22608E+02
      90,2025-02-04T16:16:47.614+01:00, 0.768E-01,   6.91052, 0.25085E+02
     100,2025-02-04T16:16:52.027+01:00, 0.768E-01,   7.67836, 0.27299E+02
     200,2025-02-04T16:17:38.220+01:00, 0.724E-01,  14.60461, 0.50391E+02
     300,2025-02-04T16:18:24.826+01:00, 0.768E-01,  22.12639, 0.73699E+02
     400,2025-02-04T16:19:11.312+01:00, 0.501E-01,  29.36501, 0.96934E+02
     500,2025-02-04T16:19:57.531+01:00, 0.598E-01,  36.63987, 0.12005E+03
     600,2025-02-04T16:20:44.507+01:00, 0.496E-01,  41.98211, 0.14353E+03
     700,2025-02-04T16:21:31.617+01:00, 0.768E-01,  48.71162, 0.16709E+03
     800,2025-02-04T16:22:18.220+01:00, 0.666E-01,  55.79913, 0.19039E+03
     900,2025-02-04T16:23:05.406+01:00, 0.736E-01,  63.05240, 0.21398E+03
    1000,2025-02-04T16:23:52.636+01:00, 0.768E-01,  70.36750, 0.23761E+03
    1100,2025-02-04T16:24:39.327+01:00, 0.768E-01,  78.00166, 0.26095E+03
    1200,2025-02-04T16:25:26.810+01:00, 0.768E-01,  85.47672, 0.28468E+03
    1300,2025-02-04T16:26:13.903+01:00, 0.768E-01,  93.15508, 0.30823E+03
    1400,2025-02-04T16:27:00.616+01:00, 0.768E-01, 100.83344, 0.33159E+03
    1500,2025-02-04T16:27:46.815+01:00, 0.768E-01, 108.51179, 0.35469E+03
    1600,2025-02-04T16:28:33.708+01:00, 0.768E-01, 116.19015, 0.37813E+03
    1700,2025-02-04T16:29:20.746+01:00, 0.768E-01, 123.86851, 0.40166E+03
    1800,2025-02-04T16:30:08.024+01:00, 0.768E-01, 131.54686, 0.42530E+03
    1900,2025-02-04T16:30:55.137+01:00, 0.768E-01, 139.22522, 0.44886E+03
    2000,2025-02-04T16:31:41.836+01:00, 0.768E-01, 146.90358, 0.47221E+03
    2100,2025-02-04T16:32:28.635+01:00, 0.768E-01, 154.58193, 0.49560E+03
    2200,2025-02-04T16:33:16.035+01:00, 0.768E-01, 162.26029, 0.51931E+03
    2300,2025-02-04T16:34:02.709+01:00, 0.768E-01, 169.93864, 0.54263E+03
    2400,2025-02-04T16:34:50.020+01:00, 0.768E-01, 177.61700, 0.56629E+03
    2500,2025-02-04T16:35:36.723+01:00, 0.768E-01, 185.24277, 0.58964E+03
    2600,2025-02-04T16:36:23.809+01:00, 0.768E-01, 192.87004, 0.61318E+03
    2700,2025-02-04T16:37:10.731+01:00, 0.768E-01, 200.54840, 0.63665E+03
    2800,2025-02-04T16:37:57.419+01:00, 0.768E-01, 208.22675, 0.65999E+03
    2900,2025-02-04T16:38:44.114+01:00, 0.768E-01, 215.90511, 0.68334E+03
    3000,2025-02-04T16:39:31.397+01:00, 0.768E-01, 223.58347, 0.70697E+03
    3100,2025-02-04T16:40:18.514+01:00, 0.768E-01, 231.26182, 0.73053E+03
    3200,2025-02-04T16:41:05.444+01:00, 0.768E-01, 238.94018, 0.75401E+03
    3300,2025-02-04T16:41:52.421+01:00, 0.768E-01, 246.61854, 0.77749E+03
    3400,2025-02-04T16:42:38.926+01:00, 0.768E-01, 254.29689, 0.80075E+03
    3500,2025-02-04T16:43:26.236+01:00, 0.768E-01, 261.97525, 0.82441E+03
    3600,2025-02-04T16:44:13.616+01:00, 0.768E-01, 269.65361, 0.84809E+03
    3700,2025-02-04T16:45:00.517+01:00, 0.768E-01, 277.33196, 0.87154E+03
    3800,2025-02-04T16:45:47.810+01:00, 0.768E-01, 285.01032, 0.89518E+03
    3900,2025-02-04T16:46:35.003+01:00, 0.768E-01, 292.68867, 0.91877E+03
    4000,2025-02-04T16:47:22.038+01:00, 0.768E-01, 300.36703, 0.94231E+03
    4100,2025-02-04T16:48:08.711+01:00, 0.768E-01, 308.01280, 0.96563E+03
    4200,2025-02-04T16:48:56.623+01:00, 0.768E-01, 315.69116, 0.98959E+03
    4300,2025-02-04T16:49:43.919+01:00, 0.768E-01, 323.36951, 0.10132E+04
    4400,2025-02-04T16:50:30.610+01:00, 0.768E-01, 331.04787, 0.10366E+04
    4500,2025-02-04T16:51:17.725+01:00, 0.768E-01, 338.72623, 0.10601E+04
    4600,2025-02-04T16:52:04.221+01:00, 0.768E-01, 346.40458, 0.10834E+04
    4700,2025-02-04T16:52:51.234+01:00, 0.768E-01, 354.08294, 0.11069E+04
    4800,2025-02-04T16:53:38.619+01:00, 0.768E-01, 361.76129, 0.11306E+04
    4900,2025-02-04T16:54:25.813+01:00, 0.768E-01, 369.43965, 0.11542E+04
    5000,2025-02-04T16:55:12.741+01:00, 0.768E-01, 377.11801, 0.11777E+04
    5100,2025-02-04T16:55:59.638+01:00, 0.768E-01, 384.79636, 0.12011E+04
    5200,2025-02-04T16:56:46.430+01:00, 0.768E-01, 392.47472, 0.12245E+04
    5299,2025-02-04T16:57:33.455+01:00, 0.490E-03, 400.00000, 0.12480E+04
