s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.4130087E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4130087E-004, 0.0000000E+000,-3.7022747E-001
 1.0058647E+001, 0.0000000E+000, 1.8289879E-002,-2.9280407E-001, 1.8781452E-002, 0.0000000E+000,-1.6903645E+000, 0.0000000E+000,-1.9373922E+000,-1.9460972E+000,-1.3056461E-002,-2.8251709E+002
 2.0060040E+001, 0.0000000E+000, 6.2769924E-002,-3.1094973E-001, 7.1856497E-002, 0.0000000E+000,-1.7652279E+000, 0.0000000E+000,-1.9422164E+000,-1.9415512E+000,-1.4045285E-002,-5.7678777E+002
 3.0016369E+001, 0.0000000E+000, 1.0423773E-001,-2.9857505E-001, 1.1952639E-001, 0.0000000E+000,-1.7246089E+000, 0.0000000E+000,-1.8000517E+000,-1.7994198E+000,-1.4042670E-002,-8.6299031E+002
 4.0008804E+001, 0.0000000E+000, 1.4262953E-001,-2.8732781E-001, 1.5869343E-001, 0.0000000E+000,-1.6887037E+000, 0.0000000E+000,-1.6753329E+000,-1.6747085E+000,-1.4037329E-002,-1.1442478E+003
 5.0016937E+001, 0.0000000E+000, 1.7844491E-001,-2.7599775E-001, 1.9598775E-001, 0.0000000E+000,-1.6546354E+000, 0.0000000E+000,-1.5567716E+000,-1.5562005E+000,-1.4033010E-002,-1.4202632E+003
 6.0055672E+001, 0.0000000E+000, 2.1181459E-001,-2.6457527E-001, 2.3144898E-001, 0.0000000E+000,-1.6223608E+000, 0.0000000E+000,-1.4441900E+000,-1.4436725E+000,-1.4029716E-002,-1.6917228E+003
 7.0060371E+001, 0.0000000E+000, 2.4287666E-001,-2.5859886E-001, 2.6376432E-001, 0.0000000E+000,-1.5923367E+000, 0.0000000E+000,-1.3447322E+000,-1.3442945E+000,-1.4009292E-002,-1.9572536E+003
 8.0074821E+001, 0.0000000E+000, 2.7189488E-001,-2.5235320E-001, 2.8835172E-001, 0.0000000E+000,-1.5662855E+000, 0.0000000E+000,-1.2588170E+000,-1.2583921E+000,-1.3990493E-002,-2.2186952E+003
 9.0006958E+001, 0.0000000E+000, 2.9883584E-001,-2.4465953E-001, 3.1680798E-001, 0.0000000E+000,-1.5396273E+000, 0.0000000E+000,-1.1690786E+000,-1.1686430E+000,-1.3977259E-002,-2.4735754E+003
 1.0006561E+002, 0.0000000E+000, 3.2391201E-001,-2.3653088E-001, 3.4662667E-001, 0.0000000E+000,-1.5132359E+000, 0.0000000E+000,-1.0796300E+000,-1.0792281E+000,-1.3966039E-002,-2.7272765E+003
 1.1004746E+002, 0.0000000E+000, 3.4711143E-001,-2.2914387E-001, 3.7401384E-001, 0.0000000E+000,-1.4886197E+000, 0.0000000E+000,-9.9700596E-001,-9.9663830E-001,-1.3952912E-002,-2.9749451E+003
