,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-02-05T15:47:58.555+01:00, 0.768E-01,   0.07678, 0.43374E+01
       2,2025-02-05T15:47:58.949+01:00, 0.768E-01,   0.15357, 0.45341E+01
       3,2025-02-05T15:47:59.561+01:00, 0.768E-01,   0.23035, 0.48445E+01
       4,2025-02-05T15:47:59.964+01:00, 0.768E-01,   0.30713, 0.50473E+01
       5,2025-02-05T15:48:00.351+01:00, 0.768E-01,   0.38392, 0.52355E+01
       6,2025-02-05T15:48:00.964+01:00, 0.768E-01,   0.46070, 0.55508E+01
       7,2025-02-05T15:48:01.360+01:00, 0.768E-01,   0.53748, 0.57470E+01
       8,2025-02-05T15:48:01.757+01:00, 0.768E-01,   0.61427, 0.59427E+01
       9,2025-02-05T15:48:02.429+01:00, 0.768E-01,   0.69105, 0.62612E+01
      10,2025-02-05T15:48:02.836+01:00, 0.768E-01,   0.76784, 0.64680E+01
      20,2025-02-05T15:48:07.446+01:00, 0.768E-01,   1.53567, 0.87819E+01
      30,2025-02-05T15:48:12.357+01:00, 0.768E-01,   2.30351, 0.11243E+02
      40,2025-02-05T15:48:17.049+01:00, 0.768E-01,   3.07134, 0.13584E+02
      50,2025-02-05T15:48:21.649+01:00, 0.768E-01,   3.83918, 0.15883E+02
      60,2025-02-05T15:48:26.465+01:00, 0.768E-01,   4.60701, 0.18299E+02
      70,2025-02-05T15:48:31.138+01:00, 0.768E-01,   5.37485, 0.20624E+02
      80,2025-02-05T15:48:35.661+01:00, 0.768E-01,   6.14269, 0.22895E+02
      90,2025-02-05T15:48:40.436+01:00, 0.768E-01,   6.91052, 0.25273E+02
     100,2025-02-05T15:48:45.036+01:00, 0.768E-01,   7.67836, 0.27569E+02
     200,2025-02-05T15:49:30.928+01:00, 0.724E-01,  14.60461, 0.50513E+02
     300,2025-02-05T15:50:17.363+01:00, 0.768E-01,  22.12639, 0.73747E+02
     400,2025-02-05T15:51:03.828+01:00, 0.501E-01,  29.36501, 0.96965E+02
     500,2025-02-05T15:51:50.937+01:00, 0.598E-01,  36.63987, 0.12052E+03
     600,2025-02-05T15:52:37.926+01:00, 0.496E-01,  41.98211, 0.14401E+03
     700,2025-02-05T15:53:24.242+01:00, 0.768E-01,  48.71162, 0.16718E+03
     800,2025-02-05T15:54:10.934+01:00, 0.666E-01,  55.79913, 0.19052E+03
     900,2025-02-05T15:54:57.058+01:00, 0.736E-01,  63.05240, 0.21359E+03
    1000,2025-02-05T15:55:43.642+01:00, 0.768E-01,  70.36750, 0.23688E+03
    1100,2025-02-05T15:56:30.267+01:00, 0.768E-01,  78.00166, 0.26020E+03
    1200,2025-02-05T15:57:16.951+01:00, 0.768E-01,  85.47672, 0.28354E+03
    1300,2025-02-05T15:58:02.931+01:00, 0.768E-01,  93.15508, 0.30651E+03
    1400,2025-02-05T15:58:49.140+01:00, 0.768E-01, 100.83344, 0.32962E+03
    1500,2025-02-05T15:59:35.860+01:00, 0.768E-01, 108.51179, 0.35299E+03
    1600,2025-02-05T16:00:23.157+01:00, 0.768E-01, 116.19015, 0.37664E+03
    1700,2025-02-05T16:01:10.537+01:00, 0.768E-01, 123.86851, 0.40032E+03
    1800,2025-02-05T16:01:57.532+01:00, 0.768E-01, 131.54686, 0.42382E+03
    1900,2025-02-05T16:02:44.252+01:00, 0.768E-01, 139.22522, 0.44719E+03
    2000,2025-02-05T16:03:31.148+01:00, 0.768E-01, 146.90358, 0.47063E+03
    2100,2025-02-05T16:04:17.971+01:00, 0.768E-01, 154.58193, 0.49405E+03
    2200,2025-02-05T16:05:04.441+01:00, 0.768E-01, 162.26029, 0.51728E+03
    2300,2025-02-05T16:05:51.646+01:00, 0.768E-01, 169.93864, 0.54088E+03
    2400,2025-02-05T16:06:38.240+01:00, 0.768E-01, 177.61700, 0.56417E+03
    2500,2025-02-05T16:07:25.155+01:00, 0.768E-01, 185.24277, 0.58764E+03
    2600,2025-02-05T16:08:11.833+01:00, 0.768E-01, 192.87004, 0.61097E+03
    2700,2025-02-05T16:08:58.672+01:00, 0.768E-01, 200.54840, 0.63441E+03
    2800,2025-02-05T16:09:45.440+01:00, 0.768E-01, 208.22675, 0.65777E+03
    2900,2025-02-05T16:10:32.140+01:00, 0.768E-01, 215.90511, 0.68112E+03
    3000,2025-02-05T16:11:17.626+01:00, 0.768E-01, 223.58347, 0.70386E+03
    3100,2025-02-05T16:12:02.975+01:00, 0.768E-01, 231.26182, 0.72655E+03
    3200,2025-02-05T16:12:49.244+01:00, 0.768E-01, 238.94018, 0.74968E+03
    3300,2025-02-05T16:13:35.529+01:00, 0.768E-01, 246.61854, 0.77281E+03
    3400,2025-02-05T16:14:22.070+01:00, 0.768E-01, 254.29689, 0.79610E+03
    3500,2025-02-05T16:15:08.845+01:00, 0.768E-01, 261.97525, 0.81948E+03
    3600,2025-02-05T16:15:55.649+01:00, 0.768E-01, 269.65361, 0.84288E+03
    3700,2025-02-05T16:16:42.632+01:00, 0.768E-01, 277.33196, 0.86636E+03
